"Respondent","RLH","Bx","By"
1,0.7848831958,-0.8351658741,1.051385931
2,0.9822670989,-0.0612889846,-1.302609199
3,0.6990032695,0.3339956129,0.2580319886
4,0.4762560433,1.088052964,-0.5439272877
5,0.5238486031,0.5847294013,-0.1091290543
6,0.8482546103,1.379192167,-1.114082124
7,0.9830936206,-0.1661718791,-1.246604184
8,0.8946669582,1.498388799,1.361216836
9,0.8557683973,0.5495066864,-1.445950062
10,0.9575468729,1.605052362,0.402077963
11,0.8626782769,1.362853201,-0.448751695
12,0.9789498206,-0.2215970338,-1.134607697
13,0.8370053111,-0.3832254788,1.971676469
14,0.8710197549,1.683593712,-0.5197413982
15,0.7007893554,1.09404576,-0.570088833
16,0.395294749,0.9121544125,-0.6207231094
17,0.8356765215,1.646880171,-1.025717578
18,0.9883710146,0.03608744069,-1.261688949
19,0.9379711758,1.632198703,0.8573593833
20,0.9781016845,-0.5463312305,-0.9590698614
21,0.5291531246,-0.7794694783,1.016102994
22,0.9794802055,1.523381279,0.06539862811
23,0.7194123601,0.6283261052,-0.6117622721
24,0.9755353863,-0.3381975193,-1.096536464
25,0.6864482868,1.446828152,-0.631912397
26,0.9620917334,0.9461822405,1.200084878
27,0.9474525171,1.305742174,1.126820921
28,0.776972602,0.9303864105,-0.1080438534
29,0.6016757426,0.4085764829,0.09601616313
30,0.9655748212,1.49753077,-1.185002823
31,0.981063862,-0.4644979217,-0.9669353033
32,0.9664646147,1.519449888,0.6176965024
33,0.970035034,-0.314686378,-1.172668176
34,0.9775757494,1.412348769,0.5621064954
35,0.9882537554,0.02591441422,-1.27693711
36,0.9778816818,-0.2008235289,-1.207704415
37,0.9802869771,-0.241674258,-1.226918749
38,0.7476635862,1.0227857,-0.5777974107
39,0.8054453668,-0.1306313874,1.140780227
40,0.9831923122,-0.4640842231,-0.9286709501
41,0.8381063942,1.856090622,-0.3588326634
42,0.9754606507,0.0732240129,-1.314370245
43,0.9885661743,-0.08347722218,-1.22842503
44,0.7509061788,-1.29695014,0.8962820501
45,0.8938508104,0.9810931401,0.682504793
46,0.9738410411,-0.315854237,-1.19761143
47,0.9816037147,-0.2853119785,-1.193810699
48,0.4959641419,1.026594144,-0.5347549379
49,0.9758660826,-0.1981881586,-1.243443415
50,0.884934361,1.666117487,0.9643898313
51,0.952664142,1.480846346,0.7232635568
52,0.9816717834,-0.4471809859,-1.054759828
53,0.9730335946,1.555528887,0.4154485569
54,0.7967479151,0.7970724595,-1.395221992
55,0.9745409009,-0.4413376506,-1.129471884
56,0.9782584163,-0.3259930995,-1.099282088
57,0.9576551378,1.558082349,-1.098983443
58,0.9399731413,1.353537639,0.9740852003
59,0.9851620233,0.008005893861,-1.233483123
60,0.9733595673,-0.5553212762,-0.8637209069
61,0.9751663282,-0.5708164939,-1.022844116
62,0.7914280949,0.4464397884,-0.9915566822
63,0.4525492593,-0.1885098865,0.3103853965
64,0.9797617183,-0.1429367685,-1.241844727
65,0.9666400419,-0.477762936,-1.027350777
66,0.8803648615,1.817723487,-1.563819463
67,0.7446012844,-0.1185221033,1.581947694
68,0.9378275801,1.81779882,0.5175579251
69,0.9501827229,1.672942881,-0.8477354467
70,0.8677068011,0.4553050402,1.012073967
71,0.9847282525,0.1431423861,-1.222660384
72,0.7467579738,0.4845976356,-0.03915804432
73,0.9265279402,1.548455199,-1.255503662
74,0.9852549982,-0.2598880021,-1.17665493
75,0.9703678146,-0.5350187042,-1.135117628
76,0.9770884453,-0.5460276759,-0.9267151996
77,0.8354823315,1.622134432,-0.3544565363
78,0.9794050466,-0.5774122973,-0.9998598733
79,0.9792748123,-0.5175211843,-1.099517632
80,0.9853790653,-0.07726705859,-1.287284242
81,0.872848201,0.938165582,-1.366110717
82,0.9715912808,-0.429106383,-1.09605777
83,0.8018657624,1.11033294,-1.015981366
